"feature","estimate","n1","n2","statistic","p","conf.low","conf.high","effsize","magnitude","z","leveneP","task"
"time",0.999961819183765,120,120,7300,0.853,-7.00006305089165,8.00002267396849,0.0120044943918016,"small",0.186,0.796871920104508,NA
"time",-13.9999469818895,40,40,645.5,0.138,-25.9999728397816,4.00006103716092,0.166267185120873,"small",-1.49,0.982936794148944,1
"time",8.39633434158752,40,40,903.5,0.322,-7.9999799449017,24.9999635585323,0.111371769836457,"small",0.996,0.783119821000215,2
"time",4.21287933182138,40,40,880.5,0.441,-5.0000638401577,13.9999851192261,0.0866362027826313,"small",0.775,0.815020375397798,3
"pathLength",2.99994861305842,120,120,9301,8.89e-05,1.00008279031338,4.00004303077048,0.253026124435313,"small",3.92,0.0328424338079399,NA
"pathLength",1.99995965435601,40,40,1392.5,2.74e-09,1.00002551925773,2.99995191240902,0.665372631120738,"large",5.95,0.0158731902913987,1
"pathLength",1.00006303924571,40,40,995,0.0583,-2.62077164710812e-06,3.99993032013736,0.212219477067437,"small",1.9,0.546896747620098,2
"pathLength",2.99998691429341,40,40,1115.5,0.00218,1.99999376382589,4.99999764060981,0.343119565686331,"moderate",3.07,0.0118536031476394,3
"issuesCount",2.01572848067253e-05,120,120,7204,0.994,-2.71526202483383e-06,4.36932484335971e-05,0.000543485783602943,"small",0.00842,0.720155263058759,NA
"issuesCount",-2.9816329601839e-05,40,40,721.5,0.386,-4.95410972611696e-05,3.66479262079865e-06,0.0975448516558449,"small",-0.872,0.575674643564146,1
"issuesCount",-5.17700121409775e-05,40,40,799,0.996,-3.34160904292152e-05,4.62123751997749e-05,0.00116231734018236,"small",-0.0104,0.161170206860806,2
"issuesCount",1.34712666131777e-05,40,40,891,0.284,-8.10478696394296e-05,8.77220658246103e-06,0.120369495954511,"small",1.08,0.506347757058039,3
"clicks",-2.99995971563029,120,120,6481,0.181,-6.00005162408447,1.00000313310151,0.0863348060560172,"small",-1.34,0.960943378762018,NA
"clicks",-7.00008419038696,40,40,384.5,6.31e-05,-10.0000228983816,-4.00002247381618,0.447850096470169,"moderate",-4.01,0.0547710621861083,1
"clicks",-5.67939944919109e-05,40,40,793.5,0.954,-6.0000296143855,5.00003975540938,0.00699813799135469,"small",-0.0626,0.215258684326128,2
"clicks",1.00003812110386,40,40,868.5,0.512,-2.99992035596083,5.00002202035219,0.0738072437426583,"small",0.66,0.701339571656712,3
"deadClicks",-5.99993191098991,120,120,4935,2.51e-05,-8.00001478485876,-3.00000665136844,0.272037529130773,"small",-4.21,0.278979340443791,NA
"deadClicks",-11.0000630245613,40,40,151.5,4.08e-10,-14.0000212161956,-8.00000025821423,0.699410842543643,"large",-6.26,0.0103086593060635,1
"deadClicks",-1.00002861382299,40,40,751,0.64,-7.00008711833476,3.99997892735735,0.052764795092741,"small",-0.472,0.066716152840793,2
"deadClicks",-2.00002845096437,40,40,638,0.119,-4.99998254561824,0.99998333368802,0.174667498296146,"small",-1.56,0.792977757225898,3
"ease",4.22830291428497e-05,120,120,7659.5,0.387,-3.74833804828174e-05,0.999989059834232,0.0558828238727105,"small",0.866,0.539233142868906,NA
"ease",0.999955439750299,40,40,1061,0.0104,1.93037823324145e-05,1.99992591032821,0.286965658867586,"small",2.57,0.453864368513319,1
"ease",-1.24442408064468e-05,40,40,788,0.91,-0.999986450499622,0.999945402599071,0.0131147516197931,"small",-0.117,0.34087685763112,2
"ease",-7.60118499997937e-06,40,40,726.5,0.477,-1.000049049871,0.999979996531358,0.0800331460267241,"small",-0.716,0.424360422914623,3
"lostness",-3.08085806891948e-06,120,120,6156.5,0.0488,-0.999960938446989,5.99988973452144e-05,0.127219009996219,"small",-1.97,0.172943090685555,NA
"lostness",-0.99998536071926,40,40,600.5,0.0488,-1.999969592455,6.32660948449431e-05,0.220869399882,"small",-1.98,0.142205647656312,1
"lostness",-0.99997869135867,40,40,659.5,0.171,-1.00001731991629,3.29412560477872e-05,0.15367367967332,"small",-1.37,0.805594420961887,2
"lostness",-3.79312770699155e-05,40,40,788,0.911,-1.0000624329108,0.999991357550326,0.0130738589527881,"small",-0.117,0.311092839757062,3
"time",-0.460066494954514,40,40,696,0.319,-1.49992051287057,0.539931613649554,0.111889464129051,"small",-1,0.386909642406277,NA
"umux",4.1699284138601,40,40,891,0.383,-8.32998652285831,16.6699613898164,0.0981463162735403,"small",0.878,0.792774509310826,NA
